st_id,model,r2,rmse,kge,kge_r,r2_val,rmse_val,kge_val,aic,a,z,b,c,k_link,tau_rain,tau_up,d_sin,d_cos,lambda,z0,z1,k_sgd,gamma,h_sea
st2,filtered,0.6460764153369755,0.3384449038677501,0.7192678567499431,0.8038019428173647,0.500532217621677,0.4724286570968191,-19.547157408432035,-5510.143163237806,0.2041475459415128,0.0075922737698629,0.0007689474354544,2.138366878467231,0.1590020402234951,29.999999999186898,0.0396085077333019,0.0349388578542955,0.0192633786236707,1.7613348388392756,,,0.1006525273506389,2.8264130112678077e-07,-2.4868987403971103
st2,base_tz,0.823900833915652,0.2387326818406062,0.8692230952744133,0.9076899411460626,-1.449525018174588,1.046221001104937,-55.706134372658504,-7293.619387522454,1.1573020390719586,,0.0020971929835629,6.035236532675786e-17,0.1948469549339347,29.999999999999996,2.4302431587272655,0.16854258735955,0.037373396527657,,-1.3444661567149558,0.1497572901692979,0.0696188230298469,8.56068530198094e-16,-1.5776179144028644
st2,filtered_tz,0.818266367586689,0.2425218545942222,0.8650502370486381,0.9045807690564072,-1.4775321028171118,1.0521850796639418,-56.14294461637711,-7211.150232705587,0.8984975133106949,,0.0024569896886783,3.118680812534044e-28,0.633107206502378,29.999999999999996,0.0390791865442633,0.1892464899433656,0.0488930948418641,0.4159783548808246,-1.7457624489747667,0.215948686124417,0.0549317385685962,4.645836883308652e-24,-4.961010565849975
st20,base,0.6761797493038408,0.6329678262863788,0.7197475720715196,0.8233524310505651,-1.4491217215221537,1.9939060639263264,0.4599822805976363,-2320.814695551914,0.6485031190854159,4.053333333333335,0.0050203399492658,0.6224799324117773,0.5643624272862431,7.50015339213558,0.100000000000002,-0.6960795331571451,0.4563906552233648,,,,,,
st20,filtered,0.6658532133992949,0.6429812040209055,0.721368903569967,0.8164281525044701,-1.3872692675538754,1.9685670550350516,0.4561191982595136,-2238.5458700303843,0.2096279461659976,4.053333333333335,0.0064286320163734,0.6224799324117773,0.1957229211108416,0.8218377450617954,0.0591128102948984,-0.2105126986535039,0.1393838026943362,1.81076927226784,,,,,
st20,base_tz,0.6770853823075937,0.6320820912082893,0.7270515629235725,0.8234806417961051,-1.2417997784769472,1.9076465877477853,0.4765143518901397,-2325.9759148317,0.6513127513738336,,0.0050766728396652,0.6224799324117558,0.5801303285624636,7.365789282223548,0.1000000000001801,-0.7080159857940553,0.4608478535294185,,4.053333333333336,-0.0288933656548261,,,
st20,filtered_tz,0.66609030994148,0.6427530472965819,0.7242328998542469,0.8164577039157859,-1.281893546032448,1.924629769856249,0.464519792260862,-2238.3608539576508,0.2181810837689561,,0.006226867804046,0.6224762471835465,0.2054912206065652,0.9289554939834274,0.0292263452876354,-0.2216617743302252,0.1451093846759123,1.7987377368320718,4.053335729370829,-0.0156772849492059,,,
st21,base,0.9002979437697305,1.0438625938731887,0.9205732553791828,0.948889785058924,0.7562263405067964,1.6475306560583762,0.7187503047606623,237.5331053658694,0.0394657674555161,-14.939333333333332,0.0019137384964079,7.02359616816741,0.0359818154203496,4.476652921501603,1.7158780952970476,-0.0151087876690157,0.0510297181045387,,,,,,
st21,filtered,0.8938890642117392,1.0768900143397646,0.9117026168733126,0.9455840682442368,0.6876272713685421,1.8649907044738103,0.6714603776903837,398.83116242228743,0.0226349766243127,-14.939333172091954,0.0023792918101496,6.407436348915586,0.0370339129361947,2.706131831850645,0.7999999992651265,-0.0159780807320609,0.0545581385981865,1.9880299264347812,,,,,
st21,base_tz,0.9023299310227286,1.033170565453465,0.9209990345352044,0.9499756459612428,0.8427301636791723,1.3233137750218518,0.7818047153814853,186.88154697854884,0.0404670139344306,,0.0018261208925713,7.02359616816741,0.0380648197165987,4.957430768699245,1.675819722071212,-0.021305280837997,0.0518659700733716,,-14.939333333333332,-0.150677744888936,,,
