st_id,gw_st,ups_id,rf_id,group_name,rain_lag_days,up_lag_days,model,rmse,r2,kge,rmse_val,r2_val,kge_val,kge_r_val,kge_alpha_val,kge_beta_val,bias_val,aic,a,z0,z1,b,c,k_link,lambda,tau_rain,tau_up,d_sin,d_cos,a_std,z0_std,z1_std,b_std,c_std,k_link_std,lambda_std,tau_rain_std,tau_up_std,d_sin_std,d_cos_std,z,z_std,k_sgd,gamma,h_sea,k_sgd_std,gamma_std,h_sea_std
st2,7020111,st6,rf6,coastal,1,2,base,0.3364833260498719,0.6501671063917942,0.7247108305202354,0.4629212629976691,0.5204330216271846,-18.828697129069937,0.8822747994297139,0.852364445381772,20.827798020873363,0.3389359442436315,-5541.846146245609,0.6849887771602078,,,0.0019438691984052,2.138366878467159,0.1544523517411453,,29.999999994470524,2.205124791386654,0.086739042406843,0.0489656975477851,121277.77889327492,,,0.0003834468892649,1.8645601604640272,0.0261772448398996,,3.774725072803168,0.306789780480866,0.0237213237691346,0.0205289445021387,1.7788372745548668,621074.4761898912,0.3676362003717468,4.491665391177484e-09,-5.222600937160633,121277.77807299538,15.15264847928606,1611695.0405389946
st20,9050111,st52,rf4,inland,0,0,base_tz,0.6320820912082893,0.6770853823075937,0.7270515629235725,1.9076465877477853,-1.2417997784769472,0.4765143518901397,0.668823311294555,0.6991484484989186,1.271749091248691,1.6554347700611984,-2325.9759148317,0.6513127513738336,4.053333333333336,-0.0288933656548261,0.0050766728396652,0.6224799324117558,0.5801303285624636,,7.365789282223548,0.1000000000001801,-0.7080159857940553,0.4608478535294185,0.1055328345036376,0.4737176633241999,0.0139889859561614,0.0006554089313372,0.2053493509577143,0.0606219386912149,,1.165308590857231,16.536447300812423,0.0849736173747226,0.0619804110674164,,,,,,,,
st21,9050211,st19,rf19,inland,0,0,base_tz,1.033170565453465,0.9023299310227286,0.9209990345352044,1.3233137750218518,0.8427301636791723,0.7818047153814853,0.9562098234071302,0.8529859501984214,0.8448276061128821,0.8238226364768382,186.88154697854884,0.0404670139344306,-14.939333333333332,-0.150677744888936,0.0018261208925713,7.02359616816741,0.0380648197165987,,4.957430768699245,1.675819722071212,-0.021305280837997,0.0518659700733716,0.0097366608681445,3.6997351556004023,0.0414776859242909,0.0001839574381726,0.200113334050088,0.0098575375081064,,0.6795152033814212,0.5772632760568644,0.0034247489252263,0.0038952997868214,,,,,,,,
st22,9070211,none,rf25,inland,7,0,filtered_tz,0.2962794188083984,0.9679235211220246,0.9651340945350544,1.4987110430010004,0.2575372826533117,0.6523683707376462,0.8930649056976111,0.66972548897187,0.9817960818704474,-1.2177098586104194,-6181.90666608944,0.0014462610438466,59.92236675560507,0.1729799363833936,0.0003192212261503,0.3698521172202529,5.383395342762277e-05,0.4492747711639845,5.581337624101007,0.2637888530493699,-0.0139635917047344,-0.0079401450246948,2.035559151693663,4166.748879914121,243.46905506742837,2.9100189497450943e-05,0.0158714618644186,2.0355518565299335,699.5712420777927,0.5612032471745554,2562.9577313818263,0.0002075408233174,0.0002110790562509,,,,,,,,
st23,9070311,st56,rf25,inland,3,1,filtered,1.0687481146057407,0.9503065202335133,0.9500848666064836,1.0215885349500236,0.9533006714081246,0.931808759190998,0.9820176930013192,0.9346343812015364,1.0073496827938653,0.443792650996258,359.62058731126064,0.0106014990590795,,,0.0005463551535471,9.181824626588137,0.1434561937052425,1.931343196511183,29.99999468263108,0.0106704553102622,-0.141280933671111,-0.0360621057707288,0.0022993751720822,,,5.214152521236635e-05,0.8819862336590744,0.0111604814757523,0.1003213796358335,5.517472471621214,0.0,0.0114537635764272,0.0111784845188362,48.4430294791426,1.8499334900742148,,,,,,
st24,9080111,st16,rf25,inland,0,1,base,1.9984203665555509,0.640205702978226,0.7135896714690841,2.227032973566218,0.7140694712038698,0.7153493300948909,0.8524194301164991,0.7589018147532877,1.0334311881486509,0.2568675089291616,3557.329248638855,0.0506253166823482,,,0.0010995979621107,5.162924534600956,0.0019440506275184,,11.924074741280847,8.372190426268569,-0.110397108090882,0.1072982857137109,0.0037486087011794,,,0.0001126108924944,0.2892223601575008,0.0011211441630742,,1.9324180521427965,2.6215329599191053,0.0065054195776079,0.0109566074971309,-2.8797916666666663,4.488292401574053,,,,,,
st25,9080211,st22,rf19,inland,0,0,filtered_tz,0.4483190788706339,0.6094465658055965,0.6673264053807659,0.5612849945691576,0.4558673377768483,0.4738524553121551,0.7071962369328845,0.5629534208975912,1.0093532245598025,0.1165284562244757,-4080.7068603342377,0.0824131256794044,10.958146886500392,-0.2231427305305562,0.0039123266382997,0.7997095390628232,0.0039102601628843,0.1000000000003712,0.1000000012408447,0.7999999998973477,-0.0202060592898699,0.0051344616392866,0.005974884678766,0.626010921601987,0.0090564507787516,0.000535235731554,0.0800776034976928,0.0011684418116788,0.0498494405259055,32.104529532980614,0.2601513421873628,0.0022025129379417,0.001642339290466,,,,,,,,
st26,9090411,st27,rf25,inland,1,0,base,0.5838770550115576,0.9184869440210672,0.94087627720193,0.5527042189359251,0.9157209663723652,0.8778191196989255,0.9598993287897596,0.8845874080420827,0.9998068751984144,-0.0070903140961959,-2732.5874649289735,0.194337494115238,,,0.0014754265998726,0.3759972619878687,0.1413661153373988,,29.999999999999996,0.3842328365254562,-0.1850948232335562,0.1103240643913025,0.0270293494749403,,,0.0001230507114933,0.4605562786126302,0.0184628447183553,,2.529917936254229,0.134617413633234,0.0212654846872316,0.0178859471369065,32.83250001490406,1.7428479428601096,,,,,,
st27,9090511,st56,rf25,inland,3,1,filtered_tz,0.7901497300666154,0.9179642250635576,0.9357163492086328,1.299048626229218,0.6769767128707509,0.9055842909740844,0.9302360627017168,0.9420635181772142,0.9737191469410608,-0.9916177592082392,-1181.101643283236,0.0891008585548322,34.10775000000053,-0.7757295448263655,0.0011015950727396,0.633475433295196,0.0290705770217508,1.957336424511472,29.99999991166164,0.0139672318397333,-0.0821672421658109,-0.0121346360213343,0.0082362425284651,0.3109807473711222,0.0177548774390787,5.285249094225691e-05,0.2952311934802632,0.0028137741170707,0.1836295124943115,2.392247373407181,3.710554658203004e-17,0.007670595811037,0.0064976101284625,,,,,,,,
st28,9110111,st29,rf8,inland,0,1,base_tz,0.5501296356108603,0.8120669895422914,0.7367232470869023,0.5944365771952805,0.769150645595049,0.7076102264296351,0.9186780988969954,0.7203609220612891,0.9739133333077996,-0.2330712432123896,-3034.9379857613694,0.3531088916012888,4.9295833333334,-0.3287232365775064,0.0040995845191082,2.2630781975609655,0.4879406285608078,,18.400542891086825,0.1000000000006347,-0.1306704482789159,0.5405926187568632,0.0681022237747704,0.6925995378094707,0.0396056330912721,0.0004487570653066,2.7217450662243268,0.0657771071180009,,1.379897677493905,17.636736146703008,0.0195752061375216,0.0736511559385356,,,,,,,,
st29,9110211,st54,rf3,inland,0,1,base_tz,0.3516481269425384,0.8615426993435871,0.8464735907736161,0.4002633638583135,0.8358219658405805,0.8040185768582571,0.9291831264443262,0.8174975954276444,1.0093038143667448,0.1213306308213457,-5322.675128807562,0.0357346405714435,10.012500000000818,0.2280730913828182,0.0001802810735248,4.9248569969475575,0.0515361629616734,,29.99999999999787,0.1000000000065298,-0.0297660134360063,0.0401952948478525,0.0083393265886889,2.198124581253902,0.0537581258393519,1.4108462539366832e-05,0.1397288834052593,0.0079288520315639,,3.4806353464185844,33.63928041279472,0.001251822164014,0.0023199945200997,,,,,,,,
st3,7040111,none,rf14,inland,0,0,filtered,0.4576481944141468,0.1816225391804651,0.1811708411856404,0.4693648746856098,-0.150384012415256,0.2800122386561873,0.5018318988105277,0.4879675077426876,1.089630610367866,0.2774704907261958,-3977.3812382997585,0.2271903418855674,,,0.0032988276497095,0.0999999999945248,0.0499999999998977,0.1000000000007796,0.1000000020348817,0.7999999999999663,-0.0058247637536895,-0.062564760181813,6.742939761583508,,,0.0006999192712369,0.6988390403183519,6.749962911547268,0.3570388890071409,64.67797806312015,60.204774379023206,0.0045056967745812,0.0189214385671641,3.3760944974428977,32.65298205697075,,,,,,
st30,9110311,st29,rf8,inland,0,1,base_tz,0.3678570423487652,0.8986457406072874,0.8013611169219576,0.4634688688066716,0.8562046764019002,0.7450368897441926,0.9654656278329122,0.7481487017911004,1.0196083737426638,0.2070297720647378,-5092.31126030617,0.2494362044492189,7.227500000000002,-0.2909770698606836,0.0017281217546021,0.9047406752559084,0.6149856014965965,,23.49384636227535,0.1000000000000016,-0.2173690890080039,0.3719656047077909,0.0446620611365813,0.8359168194529635,0.0351819067080522,0.0001696089930437,0.693623097450856,0.0607306638151339,,2.47226379644202,9.658418239268835,0.0223608650508064,0.0432818743051645,,,,,,,,
st31,9120111,st52,rf4,inland,0,0,filtered_tz,0.7058054664919903,0.7959037845262142,0.8264021085559634,1.170330575062371,0.215797393112175,0.5464143198539886,0.8096917128684213,0.92078535987445,1.4040393122857526,0.8640580130079503,-1759.7974943363197,0.4793982432468649,-0.2691666666666666,-0.3762055812482197,0.0044882595881489,1.504214735888163e-13,0.2002538997051327,0.1000000000000001,29.999999999999996,0.7999999999994079,-0.5284441017480205,0.2849433915294112,0.0789251763413445,0.5508641826857182,0.0164247501001086,0.000654256540097,0.5203398007338954,0.041446430699363,0.0173004012460137,2.025217494595151,0.1314331325409481,0.0820744814642694,0.0536159564832947,,,,,,,,
